test_id,algorithm,category,difficulty,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count
caesar_000,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,4,4
caesar_001,Caesar cipher,classical,easy,True,0.4600000000000001,0.5,0.25,0.9,0.95,4,4
caesar_002,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_003,Caesar cipher,classical,easy,True,0.5377777777777778,0.5,0.4444444444444445,0.9,1.0,4,4
caesar_004,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,0.95,4,4
caesar_005,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,4,4
caesar_006,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
caesar_007,Caesar cipher,classical,easy,True,0.4021052631578948,0.5,0.10526315789473685,0.9,1.0,4,4
caesar_008,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_009,Caesar cipher,classical,easy,True,0.4021052631578948,0.5,0.10526315789473685,0.9,0.95,4,4
caesar_010,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_011,Caesar cipher,classical,easy,True,0.33,0.5,0.0,0.7,1.0,4,4
caesar_012,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_013,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_014,Caesar cipher,classical,easy,True,0.4,0.5,0.1,0.9,0.95,3,4
caesar_015,Caesar cipher,classical,easy,True,0.4215384615384616,0.5,0.15384615384615385,0.9,0.95,4,4
caesar_016,Caesar cipher,classical,easy,True,0.41000000000000003,0.5,0.125,0.9,0.95,4,4
caesar_017,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,4,5
caesar_018,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_019,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,4,5
caesar_020,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_021,Caesar cipher,classical,easy,True,0.49333333333333335,0.5,0.33333333333333326,0.9,0.95,4,4
caesar_022,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,4,4
caesar_023,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_024,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_025,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
caesar_026,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_027,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,3
caesar_028,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_029,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
caesar_030,Caesar cipher,classical,easy,True,0.4600000000000001,0.5,0.25,0.9,1.0,4,4
caesar_031,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_032,Caesar cipher,classical,easy,True,0.5781818181818182,0.5,0.5454545454545454,0.9,1.0,4,4
caesar_033,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_034,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_035,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_036,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,4,4
caesar_037,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,0.95,4,4
caesar_038,Caesar cipher,classical,easy,True,0.3963636363636364,0.5,0.09090909090909091,0.9,0.95,4,4
caesar_039,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,5
caesar_040,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
caesar_041,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_042,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_043,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_044,Caesar cipher,classical,easy,True,0.4220588235294118,0.5,0.11764705882352942,1.0,1.0,4,4
caesar_045,Caesar cipher,classical,easy,True,0.44888888888888895,0.5,0.2222222222222222,0.9,0.95,3,3
caesar_046,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_047,Caesar cipher,classical,easy,True,0.4600000000000001,0.5,0.25,0.9,1.0,4,4
caesar_048,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
caesar_049,Caesar cipher,classical,easy,True,0.6861111111111111,0.5,0.7777777777777778,1.0,1.0,4,4
caesar_050,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_051,Caesar cipher,classical,easy,True,0.42500000000000004,0.5,0.125,1.0,0.95,4,4
caesar_052,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,0.95,4,4
caesar_053,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,5
caesar_054,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,1.0,4,4
caesar_055,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,0.95,4,4
caesar_056,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
caesar_057,Caesar cipher,classical,easy,True,0.66,0.5,0.75,0.9,1.0,3,4
caesar_058,Caesar cipher,classical,easy,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,4
caesar_059,Caesar cipher,classical,easy,True,0.375,0.5,0.0,1.0,1.0,4,4
vigenere_000,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,3
vigenere_001,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,3
vigenere_002,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,4
vigenere_003,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,3
vigenere_004,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,3
vigenere_005,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.65,4,3
vigenere_006,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.65,4,3
vigenere_007,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,4
vigenere_008,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.75,4,3
