test_id,algorithm,category,difficulty,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count
caesar_000,Caesar cipher,classical,easy,True,0.7410000000000001,0.5,0.99,0.8,1.0,3,2
caesar_001,Caesar cipher,classical,easy,True,0.7500000000000001,0.5,1.0,0.8333333333333333,1.0,3,3
caesar_002,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,3
caesar_003,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_004,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,3,3
caesar_005,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,3
caesar_006,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_007,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,2,2
caesar_008,Caesar cipher,classical,easy,True,0.7375000000000002,0.5,1.0,0.75,1.0,2,3
caesar_009,Caesar cipher,classical,easy,True,0.7560000000000001,0.5,0.99,0.9,1.0,2,2
caesar_010,Caesar cipher,classical,easy,True,0.7044117647058825,0.5,0.823529411764706,1.0,1.0,2,3
caesar_011,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,2,2
caesar_012,Caesar cipher,classical,easy,True,0.7560000000000001,0.5,0.99,0.9,1.0,2,2
caesar_013,Caesar cipher,classical,easy,True,0.7110000000000001,0.5,0.99,0.6,1.0,3,3
caesar_014,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_015,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,3,3
caesar_016,Caesar cipher,classical,easy,True,0.7560000000000001,0.5,0.99,0.9,1.0,2,3
caesar_017,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_018,Caesar cipher,classical,easy,True,0.7625000000000001,0.5,1.0,0.9166666666666667,1.0,2,3
caesar_019,Caesar cipher,classical,easy,True,0.7410000000000001,0.5,0.99,0.8,1.0,3,3
caesar_020,Caesar cipher,classical,easy,True,0.7260000000000001,0.5,0.99,0.7,1.0,3,3
caesar_021,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,2
caesar_022,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,2,3
caesar_023,Caesar cipher,classical,easy,True,0.7710000000000001,0.5,0.99,1.0,1.0,3,3
caesar_024,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_025,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_026,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_027,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_028,Caesar cipher,classical,easy,True,0.7560000000000001,0.5,0.99,0.9,1.0,3,3
caesar_029,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_030,Caesar cipher,classical,easy,True,0.5681818181818182,0.5,0.5454545454545454,0.8333333333333333,1.0,3,3
caesar_031,Caesar cipher,classical,easy,True,0.6526923076923077,0.5,0.7692307692307693,0.8,1.0,2,3
caesar_032,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,2,3
caesar_033,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,3,3
caesar_034,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,2,3
caesar_035,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,3,3
caesar_036,Caesar cipher,classical,easy,True,0.7260000000000001,0.5,0.99,0.7,1.0,2,3
caesar_037,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,3
caesar_038,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,3
caesar_039,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,3,3
caesar_040,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_041,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,2,2
caesar_042,Caesar cipher,classical,easy,True,0.6526923076923077,0.5,0.7692307692307693,0.8,1.0,2,3
caesar_043,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_044,Caesar cipher,classical,easy,True,0.7410000000000001,0.5,0.99,0.8,1.0,3,3
caesar_045,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,3,3
caesar_046,Caesar cipher,classical,easy,True,0.7375000000000002,0.5,1.0,0.75,1.0,3,3
caesar_047,Caesar cipher,classical,easy,True,0.7500000000000001,0.5,1.0,0.8333333333333333,1.0,2,2
caesar_048,Caesar cipher,classical,easy,True,0.7625000000000001,0.5,1.0,0.9166666666666667,1.0,3,3
caesar_049,Caesar cipher,classical,easy,True,0.7300000000000001,0.5,1.0,0.7,1.0,2,3
caesar_050,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_051,Caesar cipher,classical,easy,True,0.7410000000000001,0.5,0.99,0.8,1.0,3,3
caesar_052,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,2,2
caesar_053,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,3
caesar_054,Caesar cipher,classical,easy,True,0.7450000000000001,0.5,1.0,0.8,1.0,3,3
caesar_055,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_056,Caesar cipher,classical,easy,True,0.7600000000000001,0.5,1.0,0.9,1.0,3,3
caesar_057,Caesar cipher,classical,easy,True,0.68,0.5,0.8000000000000002,0.9,1.0,2,2
caesar_058,Caesar cipher,classical,easy,True,0.7335000000000002,0.5,0.99,0.75,1.0,3,3
caesar_059,Caesar cipher,classical,easy,True,0.7750000000000001,0.5,1.0,1.0,1.0,3,2
vigenere_000,Vigenère cipher,classical,medium,True,0.35000000000000003,0.5,0.0,0.8333333333333333,0.9,4,3
vigenere_001,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.95,3,2
vigenere_002,Vigenère cipher,classical,medium,True,0.7710000000000001,0.5,0.99,1.0,1.0,4,3
vigenere_003,Vigenère cipher,classical,medium,True,0.39666666666666667,0.5,0.16666666666666666,0.7,0.95,3,3
vigenere_004,Vigenère cipher,classical,medium,True,0.36250000000000004,0.5,0.0,0.9166666666666667,0.9,3,2
vigenere_005,Vigenère cipher,classical,medium,True,0.44166666666666665,0.5,0.16666666666666666,1.0,0.95,3,3
vigenere_006,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.95,3,3
vigenere_007,Vigenère cipher,classical,medium,True,0.35000000000000003,0.5,0.0,0.8333333333333333,0.85,4,3
vigenere_008,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,3
vigenere_009,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.9,3,2
vigenere_010,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.95,3,3
vigenere_011,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.85,4,3
vigenere_012,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.95,3,3
vigenere_013,Vigenère cipher,classical,medium,True,0.7500000000000001,0.5,1.0,0.8333333333333333,1.0,3,3
vigenere_014,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,3
vigenere_015,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.9,4,3
vigenere_016,Vigenère cipher,classical,medium,True,0.4291666666666667,0.5,0.16666666666666666,0.9166666666666667,0.9,3,2
vigenere_017,Vigenère cipher,classical,medium,True,0.35000000000000003,0.5,0.0,0.8333333333333333,0.95,3,3
vigenere_018,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.9,3,3
vigenere_019,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.85,3,2
vigenere_020,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.85,3,2
vigenere_021,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.9,3,3
vigenere_022,Vigenère cipher,classical,medium,True,0.34285714285714286,0.5,0.0,0.7857142857142857,0.95,4,3
vigenere_023,Vigenère cipher,classical,medium,True,0.3642857142857143,0.5,0.0,0.9285714285714286,0.92,4,3
vigenere_024,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,4,3
vigenere_025,Vigenère cipher,classical,medium,True,0.7750000000000001,0.5,1.0,1.0,1.0,4,4
vigenere_026,Vigenère cipher,classical,medium,True,0.36250000000000004,0.5,0.0,0.9166666666666667,0.92,4,3
vigenere_027,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.85,3,3
vigenere_028,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,3
vigenere_029,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.9,3,2
vigenere_030,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.95,3,3
vigenere_031,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.95,3,3
vigenere_032,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.95,3,3
vigenere_033,Vigenère cipher,classical,medium,True,0.31500000000000006,0.5,0.0,0.6,0.95,3,3
vigenere_034,Vigenère cipher,classical,medium,True,0.45500000000000007,0.5,0.2,1.0,0.95,3,3
vigenere_035,Vigenère cipher,classical,medium,True,0.3375,0.5,0.0,0.75,0.95,3,3
vigenere_036,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,1.0,3,3
vigenere_037,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.95,4,3
vigenere_038,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.9,4,2
vigenere_039,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.95,3,3
vigenere_040,Vigenère cipher,classical,medium,True,0.35000000000000003,0.5,0.0,0.8333333333333333,0.85,3,3
vigenere_041,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,2
vigenere_042,Vigenère cipher,classical,medium,True,0.44166666666666665,0.5,0.16666666666666666,1.0,0.95,4,3
vigenere_043,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.85,3,3
vigenere_044,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.85,4,2
vigenere_045,Vigenère cipher,classical,medium,True,0.3375,0.5,0.0,0.75,0.85,5,3
vigenere_046,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.95,3,3
vigenere_047,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.95,3,2
vigenere_048,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,2
vigenere_049,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.9,3,3
vigenere_050,Vigenère cipher,classical,medium,True,0.45500000000000007,0.5,0.2,1.0,0.85,4,3
vigenere_051,Vigenère cipher,classical,medium,True,0.41750000000000004,0.5,0.2,0.75,0.95,4,3
vigenere_052,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,3
vigenere_053,Vigenère cipher,classical,medium,True,0.36250000000000004,0.5,0.0,0.9166666666666667,0.95,3,2
vigenere_054,Vigenère cipher,classical,medium,True,0.375,0.5,0.0,1.0,0.85,3,3
vigenere_055,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.9,4,3
vigenere_056,Vigenère cipher,classical,medium,True,0.34500000000000003,0.5,0.0,0.8,0.95,3,3
vigenere_057,Vigenère cipher,classical,medium,True,0.39666666666666667,0.5,0.16666666666666666,0.7,0.85,3,3
vigenere_058,Vigenère cipher,classical,medium,True,0.36000000000000004,0.5,0.0,0.9,0.95,3,3
